"","Gene","score","score.mean","n","score.se"
"1","p230p","Escore",1,3,0
"2","p230p","Iscore",1,3,0
"3","p230p","SDscore",1,3,0
"4","p230p","TDscore",1,3,0
"5","piplc","Escore",1.51703014067533,3,0.0643760311248189
"6","piplc","Iscore",0.772166952778847,3,0.373864037051574
"7","piplc","SDscore",0.598327953739968,3,0.0339236095768105
"8","piplc","TDscore",0.526720895259595,3,0.208881081709372
"9","rom1","Escore",0.817949148936269,3,0.0706894162395065
"10","rom1","Iscore",1.61787309960739,3,0.234833277007166
"11","rom1","SDscore",1.02578544150335,3,0.0225047949209245
"12","rom1","TDscore",1.45977195831985,3,0.0276787959781308
"13","rom10","Escore",0.809641893939974,3,0.0749724637717752
"14","rom10","Iscore",1.49516617596738,3,0.0883857369242382
"15","rom10","SDscore",1.19993054605326,3,0.046426464709814
"16","rom10","TDscore",1.45786892836415,3,0.117831054747451
"17","rom3","Escore",0.814721961958558,3,0.0796270180924665
"18","rom3","Iscore",1.6467418187436,3,0.172740310786234
"19","rom3","SDscore",1.01925459839557,3,0.0619892916233619
"20","rom3","TDscore",1.33092425082946,3,0.0229369433482701
"21","rom4","Escore",0.755186644587624,3,0.101513744775044
"22","rom4","Iscore",1.10414421374696,3,0.0596493790133476
"23","rom4","SDscore",1.07479070722845,3,0.0577742227735234
"24","rom4","TDscore",1.06571487624947,3,0.084672273473287
"25","rom8","Escore",1.0021733347829,3,0.019195833707967
"26","rom8","Iscore",0.655355341862542,3,0.117863432854073
"27","rom8","SDscore",0.675051594224373,3,0.0587232043078496
"28","rom8","TDscore",0.534484761391655,3,0.203524052657208
"29","rom9","Escore",0.821298637692259,3,0.0420343202989488
"30","rom9","Iscore",1.34325363766302,3,0.172685182629262
"31","rom9","SDscore",1.00736514391145,3,0.0568622812277437
"32","rom9","TDscore",1.70000278838138,3,0.0857151000067246
"33","sub1","Escore",1.83708363082733,3,0.0734867675195471
"34","sub1","Iscore",0.449818103982784,3,0.19757289056193
"35","sub1","SDscore",1.26609937192543,3,0.0775942980093217
"36","sub1","TDscore",0.67665026507803,3,0.151157686719822
