"","Gene","score","score.mean","n","score.se"
"1","p230p","Escore",1,1,NA
"2","p230p","Iscore",1,1,NA
"3","p230p","SDscore",1,1,NA
"4","p230p","TDscore",1,1,NA
"5","rom1","Escore",0.747258485639687,1,NA
"6","rom1","Iscore",1.92433257055683,1,NA
"7","rom1","SDscore",0.8147512864494,1,NA
"8","rom1","TDscore",1.21839684149522,1,NA
"9","rom10","Escore",0.656240747220802,1,NA
"10","rom10","Iscore",1.70912396035659,1,NA
"11","rom10","SDscore",1.56873315363881,1,NA
"12","rom10","TDscore",1.47443749167887,1,NA
"13","rom3","Escore",0.696998899056373,1,NA
"14","rom3","Iscore",2.01519377009708,1,NA
"15","rom3","SDscore",0.912376079309242,1,NA
"16","rom3","TDscore",0.924426439085067,1,NA
"17","rom4","Escore",1.22027059102777,1,NA
"18","rom4","Iscore",0.814668423364076,1,NA
"19","rom4","SDscore",1.0377358490566,1,NA
"20","rom4","TDscore",1.36385467980296,1,NA
"21","rom8","Escore",1.0706335028171,1,NA
"22","rom8","Iscore",0.606407322654462,1,NA
"23","rom8","SDscore",0.672169811320755,1,NA
"24","rom8","TDscore",0.158620689655172,1,NA
"25","rom9","Escore",0.994614882506528,1,NA
"26","rom9","Iscore",1.72025966183575,1,NA
"27","rom9","SDscore",1.81132075471698,1,NA
"28","rom9","TDscore",1.14123897353649,1,NA
"29","sub1","Escore",2.25246659020847,1,NA
"30","sub1","Iscore",0.0478576910921486,1,NA
"31","sub1","SDscore",1.39767779390421,1,NA
"32","sub1","TDscore",0.594827586206897,1,NA
