"","Erythrocytic.cycle.number","Parasitaemia","Line","Treatment"
"1",0,0.071,"rom1","RAP+"
"2",0,0.02,"rom1","RAP+"
"3",0,0.041,"rom1","RAP+"
"4",0,0.041,"rom1","RAP-"
"5",0,0.02,"rom1","RAP-"
"6",0,0.041,"rom1","RAP-"
"7",0,0.041,"rom3","RAP+"
"8",0,0.1,"rom3","RAP+"
"9",0,0.13,"rom3","RAP+"
"10",0,0.081,"rom3","RAP-"
"11",0,0.091,"rom3","RAP-"
"12",0,0.091,"rom3","RAP-"
"13",0,0.061,"rom9","RAP+"
"14",0,0.091,"rom9","RAP+"
"15",0,0.11,"rom9","RAP+"
"16",0,0.12,"rom9","RAP-"
"17",0,0.12,"rom9","RAP-"
"18",0,0.14,"rom9","RAP-"
"19",0,0.051,"piplc","RAP+"
"20",0,0.041,"piplc","RAP+"
"21",0,0.061,"piplc","RAP+"
"22",0,0.02,"piplc","RAP-"
"23",0,0.051,"piplc","RAP-"
"24",0,0.1,"piplc","RAP-"
"25",1,0.6,"rom1","RAP+"
"26",1,0.69,"rom1","RAP+"
"27",1,0.66,"rom1","RAP+"
"28",1,0.59,"rom1","RAP-"
"29",1,0.6,"rom1","RAP-"
"30",1,0.6,"rom1","RAP-"
"31",1,1.59,"rom3","RAP+"
"32",1,1.4,"rom3","RAP+"
"33",1,0.98,"rom3","RAP+"
"34",1,0.96,"rom3","RAP-"
"35",1,1.28,"rom3","RAP-"
"36",1,1.15,"rom3","RAP-"
"37",1,1.14,"rom9","RAP+"
"38",1,1.02,"rom9","RAP+"
"39",1,1.48,"rom9","RAP+"
"40",1,1.34,"rom9","RAP-"
"41",1,1.74,"rom9","RAP-"
"42",1,1.78,"rom9","RAP-"
"43",1,0.14,"piplc","RAP+"
"44",1,0.1,"piplc","RAP+"
"45",1,0.13,"piplc","RAP+"
"46",1,0.58,"piplc","RAP-"
"47",1,0.48,"piplc","RAP-"
"48",1,0.51,"piplc","RAP-"
"49",2,2.48,"rom1","RAP+"
"50",2,4.2,"rom1","RAP+"
"51",2,3.58,"rom1","RAP+"
"52",2,4.44,"rom1","RAP-"
"53",2,4.38,"rom1","RAP-"
"54",2,2.39,"rom1","RAP-"
"55",2,8.56,"rom3","RAP+"
"56",2,11.1,"rom3","RAP+"
"57",2,11.5,"rom3","RAP+"
"58",2,10.2,"rom3","RAP-"
"59",2,11,"rom3","RAP-"
"60",2,8.07,"rom3","RAP-"
"61",2,8.53,"rom9","RAP+"
"62",2,9.91,"rom9","RAP+"
"63",2,12.9,"rom9","RAP+"
"64",2,13.7,"rom9","RAP-"
"65",2,11.2,"rom9","RAP-"
"66",2,11.2,"rom9","RAP-"
"67",2,0.13,"piplc","RAP+"
"68",2,0.44,"piplc","RAP+"
"69",2,0.72,"piplc","RAP+"
"70",2,3.49,"piplc","RAP-"
"71",2,3.03,"piplc","RAP-"
"72",2,2.13,"piplc","RAP-"
"73",3,4.54,"rom1","RAP+"
"74",3,17.9,"rom1","RAP+"
"75",3,20.1,"rom1","RAP+"
"76",3,17.3,"rom1","RAP-"
"77",3,18.7,"rom1","RAP-"
"78",3,9.75,"rom1","RAP-"
"79",3,18.4,"rom3","RAP+"
"80",3,31.8,"rom3","RAP+"
"81",3,26.8,"rom3","RAP+"
"82",3,33.1,"rom3","RAP-"
"83",3,28.7,"rom3","RAP-"
"84",3,23.9,"rom3","RAP-"
"85",3,25.2,"rom9","RAP+"
"86",3,30.3,"rom9","RAP+"
"87",3,27.5,"rom9","RAP+"
"88",3,30.3,"rom9","RAP-"
"89",3,25.7,"rom9","RAP-"
"90",3,29,"rom9","RAP-"
"91",3,0.28,"piplc","RAP+"
"92",3,2.36,"piplc","RAP+"
"93",3,2.63,"piplc","RAP+"
"94",3,16,"piplc","RAP-"
"95",3,11.9,"piplc","RAP-"
"96",3,5.95,"piplc","RAP-"
"97",0,0.061,"rom10","RAP+"
"98",0,0.051,"rom10","RAP+"
"99",0,0.031,"rom10","RAP+"
"100",0,0.071,"rom10","RAP-"
"101",0,0.01,"rom10","RAP-"
"102",0,0.051,"rom10","RAP-"
"103",1,0.39,"rom10","RAP+"
"104",1,0.24,"rom10","RAP+"
"105",1,0.25,"rom10","RAP+"
"106",1,0.36,"rom10","RAP-"
"107",1,0.39,"rom10","RAP-"
"108",1,0.34,"rom10","RAP-"
"109",2,3.34,"rom10","RAP+"
"110",2,3.03,"rom10","RAP+"
"111",2,3.1,"rom10","RAP+"
"112",2,4.1,"rom10","RAP-"
"113",2,4.35,"rom10","RAP-"
"114",2,4.08,"rom10","RAP-"
"115",3,18.6,"rom10","RAP+"
"116",3,18.6,"rom10","RAP+"
"117",3,19,"rom10","RAP+"
"118",3,22.9,"rom10","RAP-"
"119",3,24.4,"rom10","RAP-"
"120",3,21.2,"rom10","RAP-"
"121",0,0.17,"sub1","RAP+"
"122",0,0.13,"sub1","RAP+"
"123",0,0.15,"sub1","RAP+"
"124",1,0,"sub1","RAP+"
"125",1,0.021,"sub1","RAP+"
"126",1,0.01,"sub1","RAP+"
"127",2,0.051,"sub1","RAP+"
"128",2,0.092,"sub1","RAP+"
"129",2,0.052,"sub1","RAP+"
"130",3,0.051,"sub1","RAP+"
"131",3,0.11,"sub1","RAP+"
"132",3,0.14,"sub1","RAP+"
"133",0,0.1,"sub1","RAP-"
"134",0,0.11,"sub1","RAP-"
"135",0,0.1,"sub1","RAP-"
"136",1,0.21,"sub1","RAP-"
"137",1,0.27,"sub1","RAP-"
"138",1,0.29,"sub1","RAP-"
"139",2,2.01,"sub1","RAP-"
"140",2,2.3,"sub1","RAP-"
"141",2,1.94,"sub1","RAP-"
"142",3,10.1,"sub1","RAP-"
"143",3,10.4,"sub1","RAP-"
"144",3,10.7,"sub1","RAP-"
"145",0,0.17,"p230p","RAP+"
"146",0,0.17,"p230p","RAP+"
"147",0,0.05,"p230p","RAP+"
"148",1,0.15,"p230p","RAP+"
"149",1,0.42,"p230p","RAP+"
"150",1,0.42,"p230p","RAP+"
"151",2,1.37,"p230p","RAP+"
"152",2,1.01,"p230p","RAP+"
"153",2,1.24,"p230p","RAP+"
"154",3,10.8,"p230p","RAP+"
"155",3,10.4,"p230p","RAP+"
"156",3,9.3,"p230p","RAP+"
"157",0,0.25,"p230p","RAP-"
